id,track_name,n_citacoes,size_bytes,price,prime_genre
284035177,Pandora - Music & Radio,1126879,130242560,0.0,Music
324684580,Spotify Music,878563,132510720,0.0,Music
284993459,"Shazam - Discover music, artists, videos & lyrics",402925,147093504,0.0,Music
333903271,Twitter,354058,210569216,0.0,News
290638154,iHeartRadio – Free Music & Radio Stations,293228,116443136,0.0,Music
302584613,"Kindle – Read eBooks, Magazines & Textbooks",252076,169747456,0.0,Book
336353151,SoundCloud - Music & Audio,135744,105009152,0.0,Music
367623543,Fox News,132703,64705536,0.0,News
421254504,Magic Piano by Smule,131695,55030784,0.0,Music
509993510,Smule Sing!,119316,109940736,0.0,Music
